DEST,TE_DEST
SUN,0.3167420814479638
LAR,0.44808743169398907
SMX,0.5714285714285714
MVY,0.51440329218107
MLU,0.3361522198731501
RIC,0.5411545044344173
ISP,0.5951821386603995
GCC,0.457286432160804
SWF,0.5
SMF,0.5422105713674299
GST,0.2
IND,0.519029976423038
LBB,0.5352822580645161
WRG,0.41304347826086957
JAN,0.4156521739130435
SCC,0.2782608695652174
CLL,0.4234527687296417
ASE,0.5460495558672277
DVL,0.3231707317073171
EVV,0.36380597014925375
STL,0.5255578189397887
SAT,0.5609791425260718
GEG,0.49836897426603843
MBS,0.4171907756813417
AKN,0.3472222222222222
CPR,0.4768211920529801
LRD,0.34959349593495936
RDU,0.5438046049138389
STT,0.49015614392396467
BQN,0.7515337423312883
GPT,0.3780630105017503
FAY,0.44075829383886256
ORD,0.46882708173853876
SNA,0.4909814141691242
CNY,0.36787564766839376
LGA,0.48687237399950567
ATW,0.5121412803532008
CLE,0.5330841638981174
SEA,0.4485036845911765
SJC,0.4931396750674551
BJI,0.30319148936170215
CLT,0.4752117050056828
PUB,0.25
SPS,0.33488372093023255
BFL,0.4582869855394883
OME,0.41875
PIH,0.08547008547008547
VEL,0.49696969696969695
SLC,0.4480182792864048
BGR,0.4406779661016949
KTN,0.38320209973753283
ELP,0.5350253807106599
EGE,0.48562933597621405
LWS,0.39903846153846156
ABI,0.4
BNA,0.5233910013260554
FAR,0.44803063457330417
CHS,0.5095107070223711
AVL,0.4793798449612403
MSN,0.4826222096637468
ABY,0.3031674208144796
BMI,0.36285097192224625
RSW,0.5471765546819156
SJT,0.39039039039039036
BOI,0.4600029792939073
ICT,0.5296347346657477
EYW,0.4103648863035431
CRP,0.4219298245614035
GRR,0.520030522701259
CAK,0.465979381443299
MAF,0.47670682730923697
PBG,0.43243243243243246
BIS,0.4259818731117825
DCA,0.4375905942985988
EWN,0.5
OTH,0.5478260869565217
LGB,0.5302226935312832
GSO,0.441400304414003
ROW,0.36328125
PWM,0.48425509394019584
HYS,0.4838709677419355
TPA,0.5742276077097506
BZN,0.5304295942720764
DLG,0.40425531914893614
GJT,0.3825301204819277
BIL,0.4959349593495935
PPG,0.6041666666666666
ABQ,0.5340462143559489
ACT,0.4316109422492401
ABR,0.24193548387096775
COU,0.34844868735083534
CAE,0.4579088471849866
BPT,0.3939393939393939
MDW,0.5513824730534913
GFK,0.34626865671641793
HYA,0.47435897435897434
MSY,0.5603448275862069
AEX,0.3938814531548757
GCK,0.3700440528634361
PVD,0.5428125609518237
PIT,0.502436268625097
DAL,0.5368697973928067
MKE,0.5514575971731449
CIU,0.4238095238095238
MOB,0.4343832020997375
HIB,0.27586206896551724
ERI,0.5268817204301075
PIA,0.4437799043062201
SAN,0.5311324425995589
ONT,0.5710550250113688
DAB,0.4726315789473684
BRO,0.40414507772020725
BWI,0.5329673662501516
FAI,0.47389969293756395
ACY,0.5493358633776091
MHK,0.35046728971962615
WYS,0.2222222222222222
BGM,0.4528301886792453
FNT,0.5284738041002278
PHL,0.5262835397316822
ACK,0.5457413249211357
GGG,0.375
SGU,0.3657858136300417
ORF,0.5219422423556059
XNA,0.44163150492264414
FSD,0.497568093385214
ADQ,0.3824884792626728
GSP,0.47598769813106223
EWR,0.5053754061539133
MLI,0.4341801385681293
ACV,0.4673684210526316
JAC,0.5013491635186185
PNS,0.5287326834273987
STX,0.6032608695652174
ILM,0.42035208243881494
IAH,0.4898717454725601
ITH,0.45933014354066987
ANC,0.484491623818212
OAK,0.5527522935779816
SBN,0.42936117936117935
OTZ,0.40384615384615385
SPI,0.3925233644859813
HRL,0.46566901408450706
DRO,0.4074766355140187
RAP,0.4448078495502862
LSE,0.33112582781456956
COD,0.3333333333333333
BRD,0.30857142857142855
MIA,0.5271575752269212
RST,0.44801980198019803
GUM,0.6178343949044586
JNU,0.36088709677419356
AUS,0.5102302199737441
DEN,0.5241961540465891
TUL,0.5283818650939919
IAD,0.4719611430013247
SJU,0.6601601219977126
ORH,0.5046382189239332
SCE,0.4064039408866995
FCA,0.4516971279373368
ALO,0.34615384615384615
PSG,0.41545893719806765
DSM,0.5378725165562914
COS,0.5702950657079098
BUF,0.5573000536768653
DFW,0.5075647955058092
DIK,0.5043859649122807
ADK,0.2916666666666667
GRB,0.39038785834738615
FAT,0.5036615134255492
CDV,0.4298245614035088
ITO,0.46113989637305697
PSC,0.36369426751592354
IDA,0.4047058823529412
FLL,0.6095741467834491
HPN,0.5327924273157539
CWA,0.33766233766233766
AVP,0.4760522496371553
IMT,0.345
LNK,0.4312267657992565
CMX,0.5859030837004405
BET,0.38392857142857145
ESC,0.34554973821989526
ABE,0.462406015037594
DTW,0.4633075842696629
BDL,0.5591561824882451
FWA,0.434819897084048
ATL,0.46690472205173983
